dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
410Ic,4.261317226203986e-06,,0.9500078387708789,,0
412Ic,1.1499506333495328e-06,,0.8603642982037398,,0
413Ic,7.656387192983595e-06,,0.6318192851879005,,0
411Ic,7.333847853509354e-06,,0.5457484717832333,,0
415Ic,4.411326271141953e-06,,0.5291993696611765,,0
414Ic,3.4662659387031967e-06,,0.9716816016489097,,0
417Ic,8.142906914518108e-06,,0.6264059626370709,,0
416Ic,2.6435808357415647e-06,,0.9648026433005571,,0
418Ic,3.970394837623722e-06,,0.9489630759660446,,0
419Ic,5.9935630668941375e-06,,0.5661672809796707,,0
421Ic,2.4698233181364762e-06,,0.569062307326104,,0
420Ic,3.1084892068894773e-06,,0.9549347847540547,,0
422Ic,1.1965079616709946e-06,,0.8825194280299556,,0
424Ic,2.456452054535225e-06,,0.9522167204204866,,0
423Ic,4.351276894823257e-06,,0.5325118208226514,,0
427Ic,4.972406039805179e-06,,0.9567345704328765,,0
428Ic,1.9135280224471607e-06,,0.9638319379570459,,0
426Ic,3.031151702534242e-06,,0.9565400909956754,,0
429Ic,1.813237789722452e-06,,0.6956960452129688,,0
430Ic,1.7857017384963946e-06,,0.7119004789848022,,0
433Ic,1.7019267063178047e-06,,0.9605904574318913,,0
434Ic,3.1946013574664247e-06,,0.5072112682301313,,0
435Ic,8.335218741896751e-07,,0.26491393093759785,,0
436Ic,9.545405889059161e-07,,0.6705477065398895,,0
432Ic,9.122837610057695e-07,,0.6000278678385538,,0
439Ic,1.736391554080593e-06,,0.9654654683216244,,0
440Ic,1.0812266540340105e-06,,0.5649977201551459,,0
438Ic,6.559049528452766e-07,,0.13670812423934042,,0
442Ic,3.898987315749156e-06,,0.42458058446321056,,0
441Ic,8.681706492027732e-07,,0.9746517374596643,,0
446Ic+,2.044904343370749e-06,,0.9586584367226318,,0
446Ic-,2.7263171602816262e-06,,0.9201508439443168,,0
448Ic+,2.5439772458052023e-07,,0.7355312414104649,,0
447Ic,1.9675010871302915e-06,,0.4925119352029105,,0
451Ic+,1.87986673748002e-06,,0.9606659500362511,,0
451Ic-,2.3999340012861668e-06,,0.9440493261685499,,0
454Ic+,1.4225373387498002e-06,,0.6872491027766631,,0
454Ic-,1.2745973463995276e-06,,0.36856473777068666,,0
456Ic-,2.2852901378865725e-06,,0.948678976821804,,0
456Ic+,1.9102222765954793e-06,,0.9491260405358609,,0
457Ic+,8.752467282110719e-07,,0.7273875407743217,,0
458Ic+,1.8644853027539702e-06,,0.9672051668888586,,0
458Ic-,2.1367693705006266e-06,,0.9450520980610118,,0
457Ic-,1.1030265231968172e-06,,0.2960030512556926,,0
459Ic-,1.890909036151423e-06,,0.9511612855873448,,0
460Ic+,6.999336818811834e-07,,0.5359477078186803,,0
459Ic+,1.6973729203900778e-06,,0.9652228544342667,,0
460Ic-,7.65352818077347e-07,,0.19421130143222554,,0
461Ic-,2.2431570519227998e-06,,0.9586846032762575,,0
461Ic+,1.912688229616932e-06,,0.9615869642796187,,0
462Ic-,5.115642297156488e-07,,0.13862228506090168,,0
463Ic+,1.3187218956601964e-06,,0.9692250174314553,,0
463Ic-,1.4695133886694268e-06,,0.9590603454413208,,0
462Ic+,5.314844139829886e-07,,0.3226284922551441,,0
464Ic+,3.9232802523713863e-07,,0.3285535747645755,,0
464Ic-,3.796662243227042e-07,,0.10888195800509959,,0
465Ic-,8.961954617635315e-07,,0.9596301921670118,,0
466Ic+,3.039786208578987e-07,,0.41308164126059954,,0
466Ic-,1.3111428533209719e-06,,0.06663271793987235,,0
467Ic+,3.011720114851401e-07,,0.9367817261925416,,0
467Ic-,2.9150345961608654e-07,,0.9255995477888119,,0
465Ic+,8.92822475678198e-07,,0.9680417004236932,,0
468Ic+,1.8961578868727988e-07,,0.30002159358781344,,0
469Ic+,2.3989948193672383e-07,,0.9307688946658066,,0
469Ic-,2.814014911429536e-07,,0.95480300576066,,0
470Ic+,6.42647621252506e-07,,0.9642082970763927,,0
468Ic-,6.576913279687744e-07,,0.10230087970083623,,0
471Ic+,8.878388082614662e-08,,0.07808167449491477,,0
471Ic-,1.601451935470574e-07,,0.21588082572618683,,0
472Ic,1.4735198197540174e-07,,0.9402161562822697,,0
470Ic-,6.164468664300753e-07,,0.9687139279185779,,0
473Ic-,1.930260088505165e-07,,0.9262358859502164,,0
474Ic+,7.299011506056718e-05,,0.17326817541417527,,0
473Ic+,1.414153886380769e-07,,0.9104141121687539,,0
475Ic+,6.544590116329041e-07,,0.9671269899638908,,0
475Ic-,6.159536187154403e-07,,0.9270173848529675,,0
476Ic+,2.3134558947498432e-07,,0.34933099446833804,,0
476Ic-,1.0407468697124883e-07,,0.21263441686008644,,0
474Ic-,5.494145125201574e-07,,0.8907839630747159,,0
477Ic-,4.6372361397797546e-07,,0.8006314595999894,,0
478Ic,6.3860334741146624e-06,,0.662957088327769,,0
479Ic,5.481360651652654e-07,,0.3322286626808053,,0
477Ic+,4.6416972785552013e-07,,0.8042499238019879,,0
480Ic+,2.901102185103649e-07,,0.9225450493455323,,0
481Ic+,1.3998490173285376e-06,,0.7327905216701749,,0
480Ic-,3.0734600275224695e-07,,0.912474960753822,,0
482Ic+,1.4300379532491348e-06,,0.7238892681649696,,0
481Ic-,6.658592605603645e-07,,0.6139555814556557,,0
482Ic-,4.3885015691579205e-06,,0.6237656680879571,,0
483Ic-,8.052584455738653e-06,,0.5662749395169238,,0
484Ic+,6.70405058723908e-07,,0.9602194469568142,,0
484Ic-,6.991460945596833e-07,,0.9385808672987337,,0
485Ic+,2.573680202218429e-07,,0.7334706708688102,,0
485Ic-,1.005555662693781e-05,,0.4426605601446433,,0
486Ic+,1.4782462058734291e-06,,0.2603483762972645,,0
486Ic-,1.6593252302153372e-07,,0.9323059787845082,,0
487Ic+,7.875104439350184e-07,,0.4591611203977276,,0
487Ic-,2.476850015667071e-07,,0.30828504214390196,,0
488Ic+,6.57599245154825e-07,,0.9409102124987206,,0
488Ic-,7.047920141944026e-07,,0.9378300923254541,,0
483Ic+,1.8622069619135471e-07,,0.4982568814002424,,0
490Ic-,2.7617369518136757e-07,,0.5973088206028745,,0
490Ic+,1.756928992540311e-07,,0.6772549267027287,,0
491Ic-,5.29119184748869e-06,,0.033099530400068966,,0
492Ic+,3.390137109013523e-07,,0.928367392363567,,0
492Ic-,3.862379411025217e-07,,0.9298413293309638,,0
493Ic+,3.1202832992308533e-07,,0.6284488359200393,,0
491Ic+,1.2868015237045196e-07,,0.8923562350969991,,0
493Ic-,1.92190946589863e-07,,0.648154273621648,,0
494Ic-,3.5502652375022027e-07,,0.936854525874095,,0
496Ic+,1.3382192518647545e-07,,0.750114268137458,,0
496Ic-,1.1403711113364433e-07,,0.6577586844419998,,0
497Ic+,1.3445700262379173e-07,,0.91355402074699,,0
