dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
162Ic,True,4.031304012531847e-05,1.9773634246077627,82.99082862743016,6.579513365511255e-21,-0.0011725607638181327,4.536640190630623e-05,0.6685196082068638,0.6100230684786634,2.041899088765579e-05,1.5653667280013875e-05,-7.904623643986358e-09,20.418990887655774,,
166Ic,True,4.4873251294456505e-05,-0.053764909655622875,999140.3960642124,0.00028203872735301676,-0.15453953444764082,7.342340334227725e-05,0.07804750296544005,-0.3474690341274338,5.292998347216604e-06,4.036365130575441e-06,3.348932181066189e-05,0.9601835740695764,,
167Ic,False,,,,,,,,,,,,,Insufficient data points (18 < 20),
165Ic,True,4.134920826271206e-05,2.054492481521352,84.64914985905425,7.471677710582075e-22,-0.001285943338254499,4.561850427072164e-05,0.6437489880383737,0.5808811623980867,2.200219038663731e-05,1.678465865468057e-05,-6.141557679761607e-09,22.002190386637295,,
168Ic,True,4.1516112074422485e-06,-1.074307075265197,158828.5034819795,1.084880305491433e-17,0.07559687320211646,9.601321692786604e-05,0.9307577757839516,0.9267630320791795,8.489744090900035e-07,6.676580851138452e-07,1.9860144559933267e-10,0.4244872045450001,,
170Ic,True,3.84483903458747e-06,2.262862456108588,158841.95624870015,8.344459015504947e-13,0.04065204304277304,0.00010532415480558256,0.9324646664436064,0.9285683971999683,7.712611227853275e-07,6.108087600657509e-07,5.578630710531926e-10,0.771261122785328,,
171Ic,True,3.803736235257656e-05,1.2105275017045931,75.21746014515817,8.729112505828905e-24,-0.0006399951547849703,3.548419360471067e-05,0.5926048826767039,0.520711626678475,2.2411888198272e-05,1.7249823827943676e-05,-2.0716619894894792e-07,22.411888198272,,
169Ic,True,4.335491377620835e-05,1.962317305717247,84.1533246554952,4.872389395969338e-24,-0.0013887622946930297,4.735143785233827e-05,0.6277883292668448,0.5621039167845232,2.395311397997053e-05,1.8555140397951634e-05,-5.555579324492079e-09,11.976556989985264,,
173Ic,True,4.6329090354876585e-05,0.4338882470536804,64.8896406082969,1.0859955748186435e-27,0.0010830501864624855,2.0656563089752858e-05,0.6263776128010767,0.560444250354208,2.227574374203046e-05,1.7810757667125583e-05,1.1629023582922328e-05,3.1822491059831033,,
174Ic,True,3.446212317906195e-06,0.43965953500489924,159896.16301485838,1.1419107187259505e-21,-0.05112472744056375,0.00011110663367186245,0.9188955299044925,0.914216425860521,7.699935500533707e-07,5.840504743947633e-07,-4.846973673273431e-15,0.3849967750266864,,
172Ic,True,3.1518952074486796e-06,-2.299605512500137,159063.72612264412,2.5281391260005275e-15,-0.0034319739538252745,0.00012079747840081376,0.8859374541722026,0.8793569226821373,7.931484259629076e-07,6.262173036835942e-07,-1.0058020482550067e-12,0.3965742129814525,,
175Ic,True,4.2465320418346126e-05,0.2806193485878206,63.231759357924425,1.207630059855414e-31,0.0009337850326863942,2.0029236392685507e-05,0.5747610630261685,0.4997188976778453,2.287162947607285e-05,1.8259826036401067e-05,1.495889144802909e-08,11.43581473803644,,
176Ic,True,4.395464701680102e-06,-0.7979101921034184,161809.53432674188,7.366053015490901e-20,-0.08478845125209951,9.33451793020467e-05,0.9499990998824349,0.94711443256796,8.004831309096786e-07,6.500281906874194e-07,-2.598603934636337e-10,0.8004831309096792,,
177Ic,True,3.021172151609863e-05,1.3140790336599208,77.82838716693432,5.078049670173101e-29,-0.0008832497729108021,3.117905843209022e-05,0.5652035886264108,0.48847481014871874,1.9244098355509878e-05,1.45782514919845e-05,-1.1629030690169368e-07,12.82939890367325,,
178Ic,True,3.6276160676415027e-06,-1.1516331566152527,160226.75945668604,3.7276689319511515e-19,-0.019958702862105486,9.652248601554211e-05,0.9214834071441663,0.9169536037101759,7.629800956669613e-07,6.021953268731034e-07,-6.207643008235562e-11,0.7629800956669608,,
179Ic,True,3.7435584151758266e-05,2.41719479549244,87.0827346758372,1.1024854405136403e-19,-0.0009158044060545619,3.949932874343942e-05,0.6738493735934922,0.616293380698226,1.8241199317446527e-05,1.4211769969728709e-05,2.1792005598416194e-10,6.080399772482175,,
180Ic,True,5.15547864275968e-06,2.0021111467370356,157600.05449743327,0.19135509606225692,0.09023942044928296,4.926991637691703e-05,0.942204141937099,0.9388697655103931,1.0451539969375197e-06,8.519353933869903e-07,-7.387202161291051e-11,0.5225769984687596,,
181Ic,True,4.106573820979e-05,2.7489989184282253,87.71475046377937,7.217895170386522e-12,-0.0001742593051520658,3.595303770899423e-05,0.7010192016471869,0.6482578842908082,1.8465399283929152e-05,1.5103343220630147e-05,-1.202310065057246e-08,18.465399283929152,,
182Ic,True,2.6145956235422517e-06,0.17853991740523656,158578.7392059828,2.965386374382982e-16,0.05543315092566792,1.5436050549808235e-05,0.7219774923270641,0.70593773226901,1.2491637475627013e-06,1.0545290948874566e-06,-5.367598257758013e-13,0.5272783967440124,,
183Ic,True,0.00018167338101326673,-0.06410794517896898,1248.9844342104968,0.00018141215168978434,-0.0017513862706288997,3.913610657750302e-05,0.09013431616768675,-0.0704302162733097,3.349370678312039e-05,2.4711350400809874e-05,0.00022620593088150162,33.49370678235652,,
186Ic,True,3.1263813094103706e-06,1.9738916767951018,143403.19951195928,3.2991990310634695e-21,-0.02606276093737322,0.00010742113918648481,0.8866496909341743,0.8801102500265305,7.942872965470243e-07,6.327769395587516e-07,1.153151648243996e-13,0.7942872965470249,,
185Ic,True,3.651374577418398e-06,-1.4291019784524643,156076.93625949475,2.3763709017750177e-24,0.011221597147757738,9.850320862213692e-05,0.9115604755712158,0.9064581953157089,8.098629647557408e-07,6.413846745758593e-07,8.445132081134886e-11,0.4049314823778688,,
187Ic,True,3.0988558199532734e-05,1.5621878565498886,80.57242499451776,2.2334443617661198e-27,-0.0009641528235485173,3.305141354106328e-05,0.5408859699520023,0.4598658470023558,2.067023770351543e-05,1.5795696084569356e-05,-7.986987158369074e-08,20.670237703515433,,
189Ic,True,4.9796176686608977e-05,-0.17065202571560967,56.33873744539829,2.917819869026838e-10,0.0028972095752096637,2.000000060926113e-06,0.5663410155234312,0.4898129594393308,2.2712970419707555e-05,1.8011371525893743e-05,-0.045671572275898895,22.712924501129223,,
188Ic,True,3.7516734016061977e-06,0.587139169722652,159221.47214344397,8.922838713543732e-13,0.0040058682809029945,0.00010079294353472854,0.9160488329444064,0.9112054963835068,7.96889943761019e-07,6.355659987215906e-07,7.012114312622366e-11,0.31875597750440826,,
